countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,SpeciesTotal
840,7,ARKANSAS,117,WILSON,35.5182227,-90.2867129,2016,2890,3
840,7,ARKANSAS,118,AUGUSTA 2,35.3146835,-91.3577331,2016,2890,2
840,38,KANSAS,118,SOLOMON,38.9147327,-97.3687519,2016,2890,36
840,51,MISSISSIPPI,119,NECAISE,30.6193407,-89.5109799,2016,2890,7
840,63,NORTH CAROLINA,119,SAWMILL,35.678979,-109.2046208,2016,2890,1
840,42,LOUISIANA,123,Delhi,32.551556,-91.627441,2016,2890,1
840,63,NORTH CAROLINA,123,CALIFORNIA 2,36.3581287,-76.9786679,2016,2890,11
840,39,KENTUCKY,124,Hodgenville 2,37.5839876,-85.7373309,2016,2890,4
840,42,LOUISIANA,124,Rayville 2,32.385442,-91.65069,2016,2890,1
840,52,MISSOURI,124,KINGSVILLE,38.6698532,-94.1050404,2016,2890,6
840,67,OKLAHOMA,125,SKIATOOK,36.3614547,-96.0493689,2016,2890,36
840,39,KENTUCKY,127,LEBANON JUNCTION,37.8249387,-85.7117159,2016,2890,1
840,88,VIRGINIA,127,NEWVILLE,37.1015582,-77.1604648,2016,2890,10
840,67,OKLAHOMA,129,PHROSO,36.1875909,-98.9119712,2016,2890,87
840,52,MISSOURI,130,NORBORNE,39.4087287,-93.7397839,2016,2890,22
840,60,NEW MEXICO,130,SAN SIMON,32.4996877,-109.3368449,2016,2890,1
840,52,MISSOURI,131,CAMERON,40.8602881,-90.5087794,2016,2890,60
840,39,KENTUCKY,132,Riverqueen,37.2446037,-87.331989,2016,2890,17
840,38,KANSAS,133,JEWELL 2,39.7262207,-98.100936,2016,2890,91
840,52,MISSOURI,133,KAHOKA2,40.4712811,-91.7164602,2016,2890,11
840,34,ILLINOIS,135,PAYSON,39.9258337,-91.3130559,2016,2890,9
840,39,KENTUCKY,137,PLEASUREVILL,38.2698117,-85.2042619,2016,2890,5
840,52,MISSOURI,137,WATSON,40.4657727,-95.2344499,2016,2890,43
840,52,MISSOURI,138,ELMO,40.510921,-95.488087,2016,2890,48
840,52,MISSOURI,139,NEW HAMPTON,40.172626,-94.201898,2016,2890,31
840,52,MISSOURI,140,LUCERNE,40.466853,-93.338346,2016,2890,3
