LATITUDE,LONGITUDE,AOU,SPECIESTOTAL
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
32.929,-113.541,3650,1
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
42,-121.892,3650,2
37.665,-121.733,3650,1
37.665,-121.733,3650,1
37.665,-121.733,3650,1
37.665,-121.733,3650,1
37.665,-121.733,3650,1
37.665,-121.733,3650,1
37.665,-121.733,3650,1
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
37.12,-119.701,3650,2
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
44.196,-116.509,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
42.432,-114.089,3650,1
26.75,-80.902,3650,1
26.75,-80.902,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
37.83,-100.871,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
41.786,-102.458,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
34.11,-104.23,3650,1
