"COUNTRYNUM","STATENUM","ROUTE","LATITUDE","LONGITUDE","YEAR","AOU","FAMILY","STOPTOTAL","SPECIESTOTAL","STARTTEMP","ENDTEMP","TEMPSCALE","STARTWIND","ENDWIND","STARTSKY","ENDSKY"
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",16,29,"C",2,2,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",12,32,"C",1,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",13,32,"C",3,2,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",16,31,"C",2,3,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",17,34,"C",2,2,1,1
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",13,24,"C",3,3,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",16,31,"C",2,2,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",20,34,"C",0,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",23,28,"C",2,1,2,2
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",16,29,"C",1,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",20,31,"C",1,2,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",23,38,"C",2,0,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",14,30,"C",2,2,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",17,33,"C",1,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",22,32,"C",2,2,1,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",24,33,"C",1,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",14,33,"C",0,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",17,32,"C",1,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",20,35,"C",2,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",22,32,"C",1,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",17,34,"C",2,0,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",16,28,"C",0,1,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",21,34,"C",2,3,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",23,32,"C",0,2,0,1
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",17,21,"C",0,0,0,0
840,6,25,32.929,-113.541,2016,"03650","Tytonidae","1 ","1   ",28,36,"C",0,2,1,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",7,20,"C",0,2,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",12,22,"C",1,0,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",11,14,"C",0,3,2,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",11,23,"C",0,1,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",9,14,"C",1,0,2,5
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",17,21,"C",1,0,2,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",16,21,"C",2,0,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",10,21,"C",1,0,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",4,16,"C",1,2,1,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",5,23,"C",0,0,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",5,18,"C",0,0,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",7,19,"C",0,1,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",2,15,"C",0,0,0,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",9,21,"C",0,0,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",5,19,"C",0,0,1,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",9,13,"C",2,0,2,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",2,7,"C",0,1,1,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",6,18,"C",0,0,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",4,15,"C",0,0,1,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",1,13,"C",0,2,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",6,19,"C",0,2,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",8,17,"C",0,1,0,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",2,17,"C",1,2,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",4,14,"C",1,1,0,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",7,14,"C",0,2,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",8,16,"C",0,1,1,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",6,18,"C",0,1,0,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",6,18,"C",0,1,0,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",6,17,"C",1,0,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",6,19,"C",1,1,1,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",3,13,"C",1,3,1,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",8,19,"C",1,2,0,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",4,21,"C",1,1,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",4,13,"C",1,3,1,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",2,19,"C",1,1,1,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",3,14,"C",1,1,1,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",3,13,"C",2,2,1,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",7,13,"C",1,2,1,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",14,17,"C",3,3,2,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",3,11,"C",1,1,1,2
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",3,11,"C",1,3,1,1
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",12,22,"C",1,2,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",11,19,"C",0,2,0,0
840,14,166,42,-121.892,2016,"03650","Tytonidae","1 ","2   ",12,24,"C",1,1,0,1
840,14,503,37.665,-121.733,2016,"03650","Tytonidae","1 ","1   ",10,29,"C",0,0,0,0
840,14,503,37.665,-121.733,2016,"03650","Tytonidae","1 ","1   ",13,18,"C",1,1,2,1
840,14,503,37.665,-121.733,2016,"03650","Tytonidae","1 ","1   ",12,18,"C",3,1,2,0
840,14,503,37.665,-121.733,2016,"03650","Tytonidae","1 ","1   ",13,18,"C",3,2,1,0
840,14,503,37.665,-121.733,2016,"03650","Tytonidae","1 ","1   ",13,16,"C",0,2,1,1
840,14,503,37.665,-121.733,2016,"03650","Tytonidae","1 ","1   ",12,18,"C",0,1,0,0
840,14,503,37.665,-121.733,2016,"03650","Tytonidae","1 ","1   ",10,23,"C",0,1,0,0
840,14,191,37.12,-119.701,2016,"03650","Tytonidae","1 ","2   ",22,32,"C",2,3,1,2
840,14,191,37.12,-119.701,2016,"03650","Tytonidae","1 ","2   ",22,36,"C",2,0,0,0
840,14,191,37.12,-119.701,2016,"03650","Tytonidae","1 ","2   ",21,33,"C",2,2,0,0
840,14,191,37.12,-119.701,2016,"03650","Tytonidae","1 ","2   ",13,31,"C",1,2,1,0
840,14,191,37.12,-119.701,2016,"03650","Tytonidae","1 ","2   ",13,27,"C",2,2,0,1
840,14,191,37.12,-119.701,2016,"03650","Tytonidae","1 ","2   ",20,34,"C",2,3,0,0
840,14,191,37.12,-119.701,2016,"03650","Tytonidae","1 ","2   ",14,31,"C",3,2,0,0
840,14,191,37.12,-119.701,2016,"03650","Tytonidae","1 ","2   ",8,28,"C",2,3,0,0
