countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,55,NEVADA,143,RUBY VALLEY 2,40.1798727,-115.4929227,2010,7430,Aegithalidae,2
840,60,NEW MEXICO,9,LA CIENEGA,35.5233697,-106.0592719,2010,7430,Aegithalidae,1
840,60,NEW MEXICO,10,PECOS,35.5743487,-105.6755989,2010,7430,Aegithalidae,4
840,60,NEW MEXICO,22,CARRIZOZO,33.6891907,-105.8493706,2010,7430,Aegithalidae,33
840,60,NEW MEXICO,60,GALLINAS,35.6605096,-105.3361242,2010,7430,Aegithalidae,7
840,60,NEW MEXICO,61,VARIADERO,35.3881137,-104.4610059,2010,7430,Aegithalidae,6
840,60,NEW MEXICO,70,VICKS PEAK,33.5104187,-107.2197419,2010,7430,Aegithalidae,2
840,60,NEW MEXICO,72,CAPITAN MTN.,33.6810096,-105.0706138,2010,7430,Aegithalidae,16
840,60,NEW MEXICO,75,RED ROCK,32.57312,-111.3291239,2010,7430,Aegithalidae,1
840,60,NEW MEXICO,76,EMORY PASS,32.9200137,-107.6265249,2010,7430,Aegithalidae,7
840,60,NEW MEXICO,78,PINON,38.2657408,-108.3489798,2010,7430,Aegithalidae,7
840,60,NEW MEXICO,116,CLAUNCH 2,34.05,-105.8166667,2010,7430,Aegithalidae,6
840,60,NEW MEXICO,154,Angel Fire 2,36.3350337,-105.29169,2010,7430,Aegithalidae,1
840,69,OREGON,33,ADAIR,42.7983457,-82.6340339,2010,7430,Aegithalidae,1
840,69,OREGON,41,GARFIELD,45.2552468,-122.2563686,2010,7430,Aegithalidae,21
840,69,OREGON,117,GLASGOW,48.2045751,-106.5334326,2010,7430,Aegithalidae,4
840,69,OREGON,127,SAMS VALLEY,42.5330796,-122.7954061,2010,7430,Aegithalidae,5
840,69,OREGON,217,COQUILLE,43.2152987,-124.0771559,2010,7430,Aegithalidae,5
840,69,OREGON,225,MYRTLE GROVE,34.1327657,-77.8775469,2010,7430,Aegithalidae,1
840,69,OREGON,339,Twickenham,44.669185,-120.12219,2010,7430,Aegithalidae,1
840,69,OREGON,903,SANTIAM,44.6045407,-122.4550929,2010,7430,Aegithalidae,2
840,69,OREGON,904,SCAPPOOSE,45.7909747,-122.8698811,2010,7430,Aegithalidae,6
