countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,14,CALIFORNIA,900,IRON GATE,41.9024247,-122.5631179,2016,7430,Aegithalidae,19
840,14,CALIFORNIA,902,SHIP MTN.,41.8824344,-123.8192961,2016,7430,Aegithalidae,1
840,17,COLORADO,23,FALFA,37.2149507,-107.7918089,2016,7430,Aegithalidae,1
840,17,COLORADO,48,GUFFEY,38.982811,-105.5746738,2016,7430,Aegithalidae,2
840,17,COLORADO,308,BAXTER PASS,39.4433277,-108.9548949,2016,7430,Aegithalidae,2
840,17,COLORADO,326,WALSENBURG,37.6176717,-104.7749029,2016,7430,Aegithalidae,7
840,33,IDAHO,25,MAGIC MTN,42.3311564,-114.2794532,2016,7430,Aegithalidae,1
840,55,NEVADA,9,FISH CREEK,46.9078696,-114.8109307,2016,7430,Aegithalidae,1
840,60,NEW MEXICO,9,LA CIENEGA,35.5233697,-106.0592719,2016,7430,Aegithalidae,9
840,60,NEW MEXICO,10,PECOS,35.5743487,-105.6755989,2016,7430,Aegithalidae,21
840,60,NEW MEXICO,20,HORSE MTN,46.1086984,-68.9008541,2016,7430,Aegithalidae,2
840,60,NEW MEXICO,22,CARRIZOZO,33.6891907,-105.8493706,2016,7430,Aegithalidae,8
840,60,NEW MEXICO,28,CLOUDCROFT,32.9576087,-105.7457016,2016,7430,Aegithalidae,4
840,60,NEW MEXICO,52,COUNSELOR,36.4327042,-107.4794163,2016,7430,Aegithalidae,1
840,60,NEW MEXICO,60,GALLINAS,35.6605096,-105.3361242,2016,7430,Aegithalidae,1
840,60,NEW MEXICO,61,VARIADERO,35.3881137,-104.4610059,2016,7430,Aegithalidae,1
840,60,NEW MEXICO,65,MOUNTAINAIR,34.5074572,-106.1909023,2016,7430,Aegithalidae,1
840,60,NEW MEXICO,70,VICKS PEAK,33.5104187,-107.2197419,2016,7430,Aegithalidae,4
840,60,NEW MEXICO,75,RED ROCK,32.57312,-111.3291239,2016,7430,Aegithalidae,11
840,60,NEW MEXICO,76,EMORY PASS,32.9200137,-107.6265249,2016,7430,Aegithalidae,5
