countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,25,FLORIDA,6,MICCOSUKEE,30.5950194,-84.0413094,2016,3270,Accipitridae,2
840,25,FLORIDA,10,COVINGTON,30.2734632,-83.8569684,2016,3270,Accipitridae,1
840,25,FLORIDA,12,BELMONT,30.5026237,-82.7337409,2016,3270,Accipitridae,1
840,25,FLORIDA,14,ROMEO,29.1916199,-82.394802,2016,3270,Accipitridae,1
840,25,FLORIDA,15,FT GADSDEN,29.9877641,-84.9762879,2016,3270,Accipitridae,1
840,25,FLORIDA,24,CHILDS,27.3232866,-81.4189503,2016,3270,Accipitridae,1
840,25,FLORIDA,27,FT LONESOME,27.6610372,-82.1462286,2016,3270,Accipitridae,9
840,25,FLORIDA,28,PINECREST,25.7510497,-80.9676799,2016,3270,Accipitridae,3
840,25,FLORIDA,30,KENANSVILLE,27.9626301,-80.9673345,2016,3270,Accipitridae,2
840,25,FLORIDA,56,HIXTOWN SWMP,30.2929508,-83.6676053,2016,3270,Accipitridae,8
840,25,FLORIDA,57,BLOXHAM,30.387698,-84.6639032,2016,3270,Accipitridae,3
840,25,FLORIDA,60,CALLAHAN,30.5196049,-81.9519897,2016,3270,Accipitridae,2
840,25,FLORIDA,61,PINETTA,30.5193097,-83.2158819,2016,3270,Accipitridae,1
840,25,FLORIDA,62,ALLIGATOR PT,29.9468226,-84.340943,2016,3270,Accipitridae,1
840,25,FLORIDA,64,DEANVILLE,29.4080424,-81.1983453,2016,3270,Accipitridae,1
840,25,FLORIDA,67,PENNYWASH CR,28.1011187,-80.8980039,2016,3270,Accipitridae,6
840,25,FLORIDA,69,KISSIMMEE,28.3225489,-81.3372759,2016,3270,Accipitridae,3
840,25,FLORIDA,73,ARBUCKLE,27.7611546,-81.4536353,2016,3270,Accipitridae,6
840,25,FLORIDA,81,DEVILS GARDN,26.5587549,-81.126711,2016,3270,Accipitridae,2
840,25,FLORIDA,82,PALMDALE,26.8751997,-81.3585199,2016,3270,Accipitridae,1
840,25,FLORIDA,108,BRISTOL,30.3242578,-85.0052085,2016,3270,Accipitridae,1
840,25,FLORIDA,116,CITRUS PARK,28.0402277,-82.5089729,2016,3270,Accipitridae,1
840,25,FLORIDA,135,FLAMINGO,25.1388716,-80.9335333,2016,3270,Accipitridae,1
840,25,FLORIDA,138,Doctors Inlet 2,30.0999167,-81.806917,2016,3270,Accipitridae,8
840,25,FLORIDA,171,SANDY 2,27.2920427,-82.0563269,2016,3270,Accipitridae,6
840,25,FLORIDA,172,CREWSVILLE,27.4972377,-81.6004029,2016,3270,Accipitridae,1
840,25,FLORIDA,180,CARD SOUND,25.3099469,-80.3928389,2016,3270,Accipitridae,1
840,25,FLORIDA,905,CROOM,28.5817572,-82.1873953,2016,3270,Accipitridae,9
840,25,FLORIDA,906,GREEN SWAMP,28.3029119,-81.9184945,2016,3270,Accipitridae,4
840,25,FLORIDA,908,Citrus,28.7995277,-82.380934,2016,3270,Accipitridae,2
840,25,FLORIDA,909,Goethe,29.09706,-82.5826,2016,3270,Accipitridae,1
840,25,FLORIDA,910,WEBB,26.8177916,-81.9247336,2016,3270,Accipitridae,4
840,25,FLORIDA,922,CHASSAHOWITZ,28.6793707,-82.5663679,2016,3270,Accipitridae,8
840,27,GEORGIA,1,HARRIETTS BL,30.8733817,-81.5755079,2016,3270,Accipitridae,2
840,27,GEORGIA,57,BOSTON,30.6653217,-83.80112,2016,3270,Accipitridae,1
840,27,GEORGIA,301,WOODBINE,30.928942,-81.671898,2016,3270,Accipitridae,5
840,27,GEORGIA,302,COUNCIL,64.5451414,-164.4368625,2016,3270,Accipitridae,5
840,27,GEORGIA,313,WEBER,31.2372355,-83.1398269,2016,3270,Accipitridae,2
840,42,LOUISIANA,105,BERWICK,29.6995057,-91.2072539,2016,3270,Accipitridae,1
840,42,LOUISIANA,137,FORT JESSUP,31.6696396,-93.5734938,2016,3270,Accipitridae,2
840,63,NORTH CAROLINA,101,SUPPLY,33.9225168,-78.2125169,2016,3270,Accipitridae,2
840,80,SOUTH CAROLINA,59,DALE,32.5362314,-80.6830998,2016,3270,Accipitridae,3
840,6,ARIZONA,32,PATAGONIA,31.5175977,-110.7949529,2016,3280,Accipitridae,1
840,14,CALIFORNIA,21,HUGHSON,37.5947824,-120.860951,2016,3280,Accipitridae,1
